Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,097085,1997,01,207.0,N
IDCJAC0001,097085,1997,03,237.2,N
IDCJAC0001,097085,1997,04,495.4,N
IDCJAC0001,097085,1997,05,351.6,N
IDCJAC0001,097085,1997,06,276.2,N
IDCJAC0001,097085,1997,07,341.4,N
IDCJAC0001,097085,1997,09,131.8,N
IDCJAC0001,097085,1997,12,262.0,N
IDCJAC0001,097085,1998,01,110.0,N
IDCJAC0001,097085,1998,02,272.6,N
IDCJAC0001,097085,1998,03,311.8,N
IDCJAC0001,097085,1998,04,348.4,N
IDCJAC0001,097085,1998,05,433.6,N
IDCJAC0001,097085,1998,06,212.4,N
IDCJAC0001,097085,1998,07,348.6,N
IDCJAC0001,097085,1998,08,146.4,N
IDCJAC0001,097085,1998,09,294.8,N
IDCJAC0001,097085,1998,10,471.2,N
IDCJAC0001,097085,1998,11,202.8,N
IDCJAC0001,097085,1998,12,234.4,N
IDCJAC0001,097085,1999,01,70.0,N
IDCJAC0001,097085,1999,02,387.4,N
IDCJAC0001,097085,1999,03,313.0,N
IDCJAC0001,097085,1999,04,235.2,N
IDCJAC0001,097085,1999,05,445.6,N
IDCJAC0001,097085,1999,06,274.4,N
IDCJAC0001,097085,1999,07,347.4,N
IDCJAC0001,097085,1999,08,338.6,N
IDCJAC0001,097085,1999,09,288.2,N
IDCJAC0001,097085,1999,10,320.2,N
IDCJAC0001,097085,1999,11,190.4,N
IDCJAC0001,097085,2000,02,187.0,N
IDCJAC0001,097085,2000,03,212.8,N
IDCJAC0001,097085,2000,04,233.0,N
IDCJAC0001,097085,2000,05,720.8,N
IDCJAC0001,097085,2000,06,341.4,N
IDCJAC0001,097085,2000,07,300.6,N
IDCJAC0001,097085,2000,08,139.0,N
IDCJAC0001,097085,2000,09,393.2,N
IDCJAC0001,097085,2000,10,358.8,N
IDCJAC0001,097085,2000,11,78.4,N
IDCJAC0001,097085,2001,01,71.6,Y
IDCJAC0001,097085,2001,02,104.4,N
IDCJAC0001,097085,2001,03,280.4,N
IDCJAC0001,097085,2001,04,222.0,N
IDCJAC0001,097085,2001,05,152.6,N
IDCJAC0001,097085,2001,06,517.8,N
IDCJAC0001,097085,2001,07,219.4,N
IDCJAC0001,097085,2001,09,311.2,N
IDCJAC0001,097085,2001,10,379.4,N
IDCJAC0001,097085,2001,11,259.6,N
IDCJAC0001,097085,2001,12,252.0,N
IDCJAC0001,097085,2002,01,325.2,N
IDCJAC0001,097085,2002,02,160.2,N
IDCJAC0001,097085,2002,03,306.8,Y
IDCJAC0001,097085,2002,04,132.4,N
IDCJAC0001,097085,2002,05,230.2,N
IDCJAC0001,097085,2002,06,679.4,N
IDCJAC0001,097085,2002,07,624.2,N
IDCJAC0001,097085,2002,08,400.8,N
IDCJAC0001,097085,2002,09,495.4,N
IDCJAC0001,097085,2002,10,418.8,N
IDCJAC0001,097085,2002,11,207.6,Y
IDCJAC0001,097085,2002,12,312.2,N
IDCJAC0001,097085,2003,01,206.0,N
IDCJAC0001,097085,2003,02,89.0,N
IDCJAC0001,097085,2003,03,197.4,N
IDCJAC0001,097085,2003,04,326.6,N
IDCJAC0001,097085,2003,05,228.8,N
IDCJAC0001,097085,2003,06,401.8,N
IDCJAC0001,097085,2003,07,408.0,N
IDCJAC0001,097085,2003,08,514.4,N
IDCJAC0001,097085,2003,09,586.0,N
IDCJAC0001,097085,2003,12,213.6,N
IDCJAC0001,097085,2004,01,391.6,N
IDCJAC0001,097085,2004,03,167.2,N
IDCJAC0001,097085,2004,04,210.6,N
IDCJAC0001,097085,2004,05,500.0,N
IDCJAC0001,097085,2004,06,731.2,N
IDCJAC0001,097085,2004,09,498.0,N
IDCJAC0001,097085,2004,10,292.4,N
IDCJAC0001,097085,2004,11,308.8,N
IDCJAC0001,097085,2004,12,245.2,N
IDCJAC0001,097085,2005,01,218.4,N
IDCJAC0001,097085,2005,02,188.8,N
IDCJAC0001,097085,2005,03,205.4,N
IDCJAC0001,097085,2005,04,273.6,N
IDCJAC0001,097085,2005,05,494.8,N
IDCJAC0001,097085,2005,06,163.8,N
IDCJAC0001,097085,2005,07,554.2,N
IDCJAC0001,097085,2005,08,428.0,N
IDCJAC0001,097085,2005,09,213.8,N
IDCJAC0001,097085,2005,10,432.8,N
IDCJAC0001,097085,2005,12,601.8,N
IDCJAC0001,097085,2006,01,146.6,N
IDCJAC0001,097085,2006,02,177.0,N
IDCJAC0001,097085,2006,03,205.6,N
IDCJAC0001,097085,2006,05,401.6,N
IDCJAC0001,097085,2006,06,213.8,N
IDCJAC0001,097085,2006,07,361.0,N
IDCJAC0001,097085,2006,08,428.2,N
IDCJAC0001,097085,2006,09,318.8,N
IDCJAC0001,097085,2006,10,275.8,N
IDCJAC0001,097085,2006,11,158.8,N
IDCJAC0001,097085,2006,12,198.0,N
IDCJAC0001,097085,2007,01,343.4,N
IDCJAC0001,097085,2007,02,29.8,N
IDCJAC0001,097085,2007,03,373.6,N
IDCJAC0001,097085,2007,04,90.8,N
IDCJAC0001,097085,2007,05,593.2,Y
IDCJAC0001,097085,2007,06,148.8,N
IDCJAC0001,097085,2007,07,251.6,N
IDCJAC0001,097085,2007,10,515.0,N
IDCJAC0001,097085,2007,11,39.4,N
IDCJAC0001,097085,2007,12,306.8,Y
IDCJAC0001,097085,2008,01,63.0,N
IDCJAC0001,097085,2008,02,239.6,N
IDCJAC0001,097085,2008,03,234.0,N
IDCJAC0001,097085,2008,04,259.8,Y
IDCJAC0001,097085,2008,05,344.4,N
IDCJAC0001,097085,2008,11,264.0,N
IDCJAC0001,097085,2008,12,355.6,N
IDCJAC0001,097085,2009,01,252.4,N
IDCJAC0001,097085,2009,02,174.0,N
IDCJAC0001,097085,2009,03,312.0,N
IDCJAC0001,097085,2009,04,333.8,N
IDCJAC0001,097085,2009,05,528.8,N
IDCJAC0001,097085,2009,06,161.0,N
IDCJAC0001,097085,2009,07,585.8,N
IDCJAC0001,097085,2009,11,172.2,N
IDCJAC0001,097085,2009,12,378.0,N
IDCJAC0001,097085,2010,01,144.0,N
IDCJAC0001,097085,2010,02,82.8,N
IDCJAC0001,097085,2010,03,373.6,N
IDCJAC0001,097085,2010,04,488.6,N
IDCJAC0001,097085,2010,05,287.8,Y
IDCJAC0001,097085,2010,06,379.4,Y
IDCJAC0001,097085,2010,07,384.4,N
IDCJAC0001,097085,2010,08,356.4,Y
IDCJAC0001,097085,2010,09,549.2,N
IDCJAC0001,097085,2010,10,292.6,N
IDCJAC0001,097085,2010,11,322.4,N
IDCJAC0001,097085,2010,12,294.2,Y
IDCJAC0001,097085,2011,01,200.6,N
IDCJAC0001,097085,2011,02,193.6,N
IDCJAC0001,097085,2011,03,223.0,Y
IDCJAC0001,097085,2011,04,239.0,Y
IDCJAC0001,097085,2011,05,337.6,Y
IDCJAC0001,097085,2011,08,274.8,Y
IDCJAC0001,097085,2011,09,470.4,Y
IDCJAC0001,097085,2011,11,421.0,N
IDCJAC0001,097085,2011,12,126.8,N
IDCJAC0001,097085,2012,01,240.4,N
IDCJAC0001,097085,2012,02,134.0,N
IDCJAC0001,097085,2012,07,363.4,N
IDCJAC0001,097085,2012,10,347.8,Y
IDCJAC0001,097085,2013,01,228.0,N
IDCJAC0001,097085,2013,02,108.2,N
IDCJAC0001,097085,2013,03,324.8,N
IDCJAC0001,097085,2013,04,353.2,N
IDCJAC0001,097085,2013,05,279.4,N
IDCJAC0001,097085,2013,06,273.4,N
IDCJAC0001,097085,2013,10,618.4,Y
IDCJAC0001,097085,2013,11,186.2,N
IDCJAC0001,097085,2013,12,349.2,N
IDCJAC0001,097085,2014,02,262.0,N
IDCJAC0001,097085,2014,03,212.0,N
IDCJAC0001,097085,2014,04,296.4,N
IDCJAC0001,097085,2014,05,424.8,N
IDCJAC0001,097085,2014,09,351.0,N
IDCJAC0001,097085,2014,10,446.0,N
IDCJAC0001,097085,2014,11,243.4,N
IDCJAC0001,097085,2014,12,252.8,N
IDCJAC0001,097085,2015,01,331.6,N
IDCJAC0001,097085,2015,02,57.8,N
IDCJAC0001,097085,2015,03,533.6,N
IDCJAC0001,097085,2015,04,126.2,N
IDCJAC0001,097085,2015,05,558.4,Y
IDCJAC0001,097085,2015,06,378.0,N
IDCJAC0001,097085,2015,07,341.0,Y
IDCJAC0001,097085,2015,08,263.2,N
IDCJAC0001,097085,2015,09,190.8,N
IDCJAC0001,097085,2015,10,48.4,N
IDCJAC0001,097085,2015,11,258.2,N
IDCJAC0001,097085,2015,12,219.0,N
IDCJAC0001,097085,2016,01,68.2,N
IDCJAC0001,097085,2016,02,233.8,N
IDCJAC0001,097085,2016,03,149.6,Y
IDCJAC0001,097085,2016,04,389.4,Y
IDCJAC0001,097085,2016,05,919.2,Y
IDCJAC0001,097085,2016,06,508.0,Y
IDCJAC0001,097085,2016,07,646.6,Y
IDCJAC0001,097085,2016,09,303.0,N
IDCJAC0001,097085,2016,10,605.4,N
IDCJAC0001,097085,2016,11,443.8,N
IDCJAC0001,097085,2016,12,319.6,N
IDCJAC0001,097085,2017,01,240.4,N
IDCJAC0001,097085,2017,02,275.6,N
IDCJAC0001,097085,2017,03,142.8,N
IDCJAC0001,097085,2017,04,190.0,N
IDCJAC0001,097085,2017,05,308.0,N
IDCJAC0001,097085,2017,06,340.4,N
IDCJAC0001,097085,2017,07,429.0,N
IDCJAC0001,097085,2017,08,430.0,N
IDCJAC0001,097085,2017,09,461.4,N
IDCJAC0001,097085,2017,10,404.4,N
IDCJAC0001,097085,2017,11,60.4,N
IDCJAC0001,097085,2017,12,299.0,N
IDCJAC0001,097085,2018,01,151.2,N
IDCJAC0001,097085,2018,02,274.2,N
IDCJAC0001,097085,2018,03,505.6,N
IDCJAC0001,097085,2018,04,261.2,N
IDCJAC0001,097085,2018,05,562.8,N
IDCJAC0001,097085,2018,06,306.2,N
IDCJAC0001,097085,2018,07,653.2,N
IDCJAC0001,097085,2018,08,466.6,N
IDCJAC0001,097085,2018,09,381.0,N
IDCJAC0001,097085,2018,10,170.2,N
IDCJAC0001,097085,2018,11,213.4,N
IDCJAC0001,097085,2018,12,196.2,N
IDCJAC0001,097085,2019,01,92.0,N
IDCJAC0001,097085,2019,02,340.6,N
IDCJAC0001,097085,2019,03,271.4,N
IDCJAC0001,097085,2019,04,390.4,N
IDCJAC0001,097085,2019,05,500.2,N
IDCJAC0001,097085,2019,06,407.6,N
IDCJAC0001,097085,2019,08,451.0,N
IDCJAC0001,097085,2019,09,348.0,Y
IDCJAC0001,097085,2019,10,250.6,N
IDCJAC0001,097085,2019,11,577.0,N
IDCJAC0001,097085,2019,12,494.8,N
IDCJAC0001,097085,2020,01,225.0,N
IDCJAC0001,097085,2020,02,179.8,N
IDCJAC0001,097085,2020,03,251.6,N
IDCJAC0001,097085,2020,04,527.4,N
IDCJAC0001,097085,2020,05,440.2,N
IDCJAC0001,097085,2020,06,285.2,N
IDCJAC0001,097085,2020,07,205.0,Y
IDCJAC0001,097085,2020,08,275.6,N
IDCJAC0001,097085,2020,09,349.6,N
IDCJAC0001,097085,2020,10,287.4,N
IDCJAC0001,097085,2020,11,181.8,N
IDCJAC0001,097085,2020,12,320.2,N
IDCJAC0001,097085,2021,01,196.6,N
IDCJAC0001,097085,2021,02,154.4,N
IDCJAC0001,097085,2021,03,353.4,N
IDCJAC0001,097085,2021,04,414.2,N
IDCJAC0001,097085,2021,05,297.2,N
IDCJAC0001,097085,2021,06,194.2,N
IDCJAC0001,097085,2021,07,512.2,N
