Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (Â°C),Quality
IDCJAC0002,097085,1996,09,4.1,Y
IDCJAC0002,097085,1996,10,6.7,Y
IDCJAC0002,097085,1996,11,7.4,Y
IDCJAC0002,097085,1996,12,9.5,Y
IDCJAC0002,097085,1997,01,15.7,Y
IDCJAC0002,097085,1997,02,11.8,Y
IDCJAC0002,097085,1997,03,10.0,Y
IDCJAC0002,097085,1997,04,8.3,Y
IDCJAC0002,097085,1997,05,5.6,Y
IDCJAC0002,097085,1997,06,5.5,Y
IDCJAC0002,097085,1997,07,2.7,Y
IDCJAC0002,097085,1997,08,2.5,Y
IDCJAC0002,097085,1997,09,6.1,Y
IDCJAC0002,097085,1997,10,10.6,Y
IDCJAC0002,097085,1997,12,10.7,Y
IDCJAC0002,097085,1998,01,14.9,Y
IDCJAC0002,097085,1998,02,12.4,Y
IDCJAC0002,097085,1998,03,11.6,Y
IDCJAC0002,097085,1998,04,6.8,Y
IDCJAC0002,097085,1998,05,6.1,Y
IDCJAC0002,097085,1998,06,3.8,Y
IDCJAC0002,097085,1998,07,2.9,Y
IDCJAC0002,097085,1998,08,4.5,Y
IDCJAC0002,097085,1998,09,5.9,Y
IDCJAC0002,097085,1998,10,4.9,Y
IDCJAC0002,097085,1998,11,10.4,Y
IDCJAC0002,097085,1998,12,12.6,Y
IDCJAC0002,097085,1999,01,15.8,Y
IDCJAC0002,097085,1999,02,14.3,Y
IDCJAC0002,097085,1999,03,11.2,Y
IDCJAC0002,097085,1999,04,7.7,Y
IDCJAC0002,097085,1999,05,7.2,Y
IDCJAC0002,097085,1999,06,4.9,Y
IDCJAC0002,097085,1999,07,5.2,Y
IDCJAC0002,097085,1999,08,5.8,Y
IDCJAC0002,097085,1999,09,7.3,Y
IDCJAC0002,097085,1999,10,8.8,Y
IDCJAC0002,097085,1999,11,9.7,Y
IDCJAC0002,097085,1999,12,13.3,Y
IDCJAC0002,097085,2000,01,16.7,Y
IDCJAC0002,097085,2000,02,17.6,Y
IDCJAC0002,097085,2000,03,12.9,Y
IDCJAC0002,097085,2000,04,9.6,Y
IDCJAC0002,097085,2000,05,6.0,Y
IDCJAC0002,097085,2000,06,4.7,Y
IDCJAC0002,097085,2000,07,4.0,Y
IDCJAC0002,097085,2000,08,4.5,Y
IDCJAC0002,097085,2000,09,4.9,Y
IDCJAC0002,097085,2000,10,7.3,Y
IDCJAC0002,097085,2000,11,13.8,Y
IDCJAC0002,097085,2000,12,12.4,Y
IDCJAC0002,097085,2001,01,15.2,Y
IDCJAC0002,097085,2001,02,16.4,Y
IDCJAC0002,097085,2001,03,12.6,Y
IDCJAC0002,097085,2001,04,8.7,Y
IDCJAC0002,097085,2001,05,6.5,Y
IDCJAC0002,097085,2001,06,5.4,Y
IDCJAC0002,097085,2001,07,5.0,Y
IDCJAC0002,097085,2001,08,4.2,Y
IDCJAC0002,097085,2001,09,7.5,Y
IDCJAC0002,097085,2001,10,6.9,Y
IDCJAC0002,097085,2001,11,9.2,Y
IDCJAC0002,097085,2001,12,8.9,Y
IDCJAC0002,097085,2002,01,12.9,Y
IDCJAC0002,097085,2002,02,12.7,Y
IDCJAC0002,097085,2002,03,11.4,Y
IDCJAC0002,097085,2002,04,11.0,Y
IDCJAC0002,097085,2002,05,7.3,Y
IDCJAC0002,097085,2002,06,4.3,Y
IDCJAC0002,097085,2002,07,3.9,Y
IDCJAC0002,097085,2002,08,3.5,Y
IDCJAC0002,097085,2002,09,5.0,Y
IDCJAC0002,097085,2002,10,6.7,Y
IDCJAC0002,097085,2002,11,10.6,Y
IDCJAC0002,097085,2002,12,12.3,Y
IDCJAC0002,097085,2003,01,14.0,Y
IDCJAC0002,097085,2003,02,14.9,Y
IDCJAC0002,097085,2003,03,12.1,Y
IDCJAC0002,097085,2003,04,10.0,Y
IDCJAC0002,097085,2003,05,8.0,Y
IDCJAC0002,097085,2003,06,4.4,Y
IDCJAC0002,097085,2003,07,3.5,Y
IDCJAC0002,097085,2003,08,3.5,Y
IDCJAC0002,097085,2003,09,2.9,Y
IDCJAC0002,097085,2003,10,6.0,Y
IDCJAC0002,097085,2003,11,13.3,Y
IDCJAC0002,097085,2003,12,13.5,Y
IDCJAC0002,097085,2004,01,10.3,Y
IDCJAC0002,097085,2004,02,13.0,Y
IDCJAC0002,097085,2004,03,10.2,Y
IDCJAC0002,097085,2004,04,8.7,Y
IDCJAC0002,097085,2004,05,5.9,Y
IDCJAC0002,097085,2004,06,4.1,Y
IDCJAC0002,097085,2004,07,2.6,Y
IDCJAC0002,097085,2004,08,3.8,Y
IDCJAC0002,097085,2004,09,5.5,Y
IDCJAC0002,097085,2004,10,8.4,Y
IDCJAC0002,097085,2004,11,9.3,Y
IDCJAC0002,097085,2004,12,12.6,Y
IDCJAC0002,097085,2005,01,12.9,Y
IDCJAC0002,097085,2005,02,12.7,Y
IDCJAC0002,097085,2005,03,10.8,Y
IDCJAC0002,097085,2005,04,9.6,Y
IDCJAC0002,097085,2005,05,6.1,Y
IDCJAC0002,097085,2005,06,5.8,Y
IDCJAC0002,097085,2005,07,3.8,Y
IDCJAC0002,097085,2005,08,3.9,Y
IDCJAC0002,097085,2005,09,6.3,Y
IDCJAC0002,097085,2005,10,8.9,Y
IDCJAC0002,097085,2005,11,11.8,Y
IDCJAC0002,097085,2005,12,11.6,Y
IDCJAC0002,097085,2006,01,14.8,Y
IDCJAC0002,097085,2006,02,12.1,Y
IDCJAC0002,097085,2006,03,12.8,Y
IDCJAC0002,097085,2006,04,6.3,Y
IDCJAC0002,097085,2006,05,5.0,Y
IDCJAC0002,097085,2006,06,3.8,Y
IDCJAC0002,097085,2006,07,4.1,Y
IDCJAC0002,097085,2006,08,4.8,Y
IDCJAC0002,097085,2006,09,6.0,Y
IDCJAC0002,097085,2006,10,7.0,Y
IDCJAC0002,097085,2006,11,9.2,Y
IDCJAC0002,097085,2006,12,11.4,Y
IDCJAC0002,097085,2007,01,13.9,Y
IDCJAC0002,097085,2007,02,19.0,Y
IDCJAC0002,097085,2007,03,11.8,Y
IDCJAC0002,097085,2007,04,10.9,Y
IDCJAC0002,097085,2007,05,8.4,Y
IDCJAC0002,097085,2007,06,3.4,Y
IDCJAC0002,097085,2007,07,3.4,Y
IDCJAC0002,097085,2007,08,4.3,Y
IDCJAC0002,097085,2007,09,5.6,Y
IDCJAC0002,097085,2007,10,6.5,Y
IDCJAC0002,097085,2007,11,13.5,Y
IDCJAC0002,097085,2007,12,13.1,Y
IDCJAC0002,097085,2008,01,15.6,Y
IDCJAC0002,097085,2008,02,13.0,Y
IDCJAC0002,097085,2008,03,13.1,Y
IDCJAC0002,097085,2008,04,8.5,Y
IDCJAC0002,097085,2008,05,6.1,Y
IDCJAC0002,097085,2008,06,5.9,Y
IDCJAC0002,097085,2008,07,3.0,Y
IDCJAC0002,097085,2008,08,2.7,Y
IDCJAC0002,097085,2008,09,4.0,Y
IDCJAC0002,097085,2008,10,7.5,Y
IDCJAC0002,097085,2008,11,9.9,Y
IDCJAC0002,097085,2008,12,9.4,Y
IDCJAC0002,097085,2009,01,13.2,Y
IDCJAC0002,097085,2009,02,14.6,Y
IDCJAC0002,097085,2009,03,11.2,Y
IDCJAC0002,097085,2009,04,8.3,Y
IDCJAC0002,097085,2009,05,6.5,Y
IDCJAC0002,097085,2009,06,5.4,Y
IDCJAC0002,097085,2009,07,3.3,Y
IDCJAC0002,097085,2009,08,4.4,Y
IDCJAC0002,097085,2009,10,8.8,Y
IDCJAC0002,097085,2009,11,14.0,Y
IDCJAC0002,097085,2009,12,11.7,Y
IDCJAC0002,097085,2010,01,13.6,Y
IDCJAC0002,097085,2010,02,16.0,Y
IDCJAC0002,097085,2010,03,13.5,Y
IDCJAC0002,097085,2010,04,9.4,Y
IDCJAC0002,097085,2010,05,6.5,Y
IDCJAC0002,097085,2010,06,4.0,Y
IDCJAC0002,097085,2010,07,4.0,Y
IDCJAC0002,097085,2010,08,3.1,Y
IDCJAC0002,097085,2010,09,3.3,Y
IDCJAC0002,097085,2010,10,7.8,Y
IDCJAC0002,097085,2010,11,10.5,Y
IDCJAC0002,097085,2010,12,10.7,Y
IDCJAC0002,097085,2011,01,13.5,Y
IDCJAC0002,097085,2011,02,12.6,Y
IDCJAC0002,097085,2011,03,11.1,Y
IDCJAC0002,097085,2011,04,9.6,Y
IDCJAC0002,097085,2011,05,5.0,Y
IDCJAC0002,097085,2011,06,4.9,Y
IDCJAC0002,097085,2011,07,2.9,Y
IDCJAC0002,097085,2011,08,6.3,Y
IDCJAC0002,097085,2011,09,5.6,Y
IDCJAC0002,097085,2011,10,8.9,Y
IDCJAC0002,097085,2011,11,10.4,Y
IDCJAC0002,097085,2011,12,13.5,Y
IDCJAC0002,097085,2012,01,14.8,Y
IDCJAC0002,097085,2012,02,14.8,Y
IDCJAC0002,097085,2012,03,11.0,Y
IDCJAC0002,097085,2012,04,9.5,Y
IDCJAC0002,097085,2012,05,5.2,Y
IDCJAC0002,097085,2012,06,3.4,Y
IDCJAC0002,097085,2012,07,3.7,Y
IDCJAC0002,097085,2012,08,3.2,Y
IDCJAC0002,097085,2012,09,5.8,Y
IDCJAC0002,097085,2013,02,15.9,Y
IDCJAC0002,097085,2013,03,14.7,Y
IDCJAC0002,097085,2013,04,8.1,Y
IDCJAC0002,097085,2013,05,6.6,Y
IDCJAC0002,097085,2013,06,5.1,Y
IDCJAC0002,097085,2013,07,4.6,Y
IDCJAC0002,097085,2013,08,3.8,Y
IDCJAC0002,097085,2013,09,6.7,Y
IDCJAC0002,097085,2013,10,6.1,Y
IDCJAC0002,097085,2013,11,10.3,Y
IDCJAC0002,097085,2013,12,11.8,Y
IDCJAC0002,097085,2014,01,15.4,Y
IDCJAC0002,097085,2014,02,16.0,Y
IDCJAC0002,097085,2014,03,12.3,Y
IDCJAC0002,097085,2014,04,9.1,Y
IDCJAC0002,097085,2014,05,6.9,Y
IDCJAC0002,097085,2014,06,5.4,Y
IDCJAC0002,097085,2014,07,4.6,Y
IDCJAC0002,097085,2014,08,5.3,Y
IDCJAC0002,097085,2014,09,6.8,Y
IDCJAC0002,097085,2014,10,8.2,Y
IDCJAC0002,097085,2014,11,9.8,Y
IDCJAC0002,097085,2014,12,12.6,Y
IDCJAC0002,097085,2015,01,13.7,Y
IDCJAC0002,097085,2015,02,15.7,Y
IDCJAC0002,097085,2015,03,8.8,Y
IDCJAC0002,097085,2015,04,8.0,Y
IDCJAC0002,097085,2015,05,8.0,Y
IDCJAC0002,097085,2015,09,8.7,Y
IDCJAC0002,097085,2015,10,10.9,Y
IDCJAC0002,097085,2015,11,10.1,Y
IDCJAC0002,097085,2015,12,14.5,Y
IDCJAC0002,097085,2016,01,15.8,Y
IDCJAC0002,097085,2016,02,13.9,Y
IDCJAC0002,097085,2016,03,12.9,Y
IDCJAC0002,097085,2016,04,9.5,Y
IDCJAC0002,097085,2016,05,5.1,Y
IDCJAC0002,097085,2016,06,5.1,Y
IDCJAC0002,097085,2016,07,4.7,Y
IDCJAC0002,097085,2016,08,3.7,Y
IDCJAC0002,097085,2016,09,6.6,Y
IDCJAC0002,097085,2016,10,6.1,Y
IDCJAC0002,097085,2016,11,8.9,Y
IDCJAC0002,097085,2016,12,12.3,Y
IDCJAC0002,097085,2017,01,13.4,Y
IDCJAC0002,097085,2017,02,11.1,Y
IDCJAC0002,097085,2017,03,15.4,Y
IDCJAC0002,097085,2017,04,9.1,Y
IDCJAC0002,097085,2017,05,6.3,Y
IDCJAC0002,097085,2017,06,4.0,Y
IDCJAC0002,097085,2017,07,2.7,Y
IDCJAC0002,097085,2017,08,2.9,Y
IDCJAC0002,097085,2017,09,3.3,Y
IDCJAC0002,097085,2017,10,9.2,Y
IDCJAC0002,097085,2017,11,14.6,Y
IDCJAC0002,097085,2018,04,8.9,Y
IDCJAC0002,097085,2018,05,6.8,Y
IDCJAC0002,097085,2018,06,4.8,Y
IDCJAC0002,097085,2018,07,3.3,Y
IDCJAC0002,097085,2018,08,3.1,Y
IDCJAC0002,097085,2018,09,4.2,Y
IDCJAC0002,097085,2018,10,9.3,Y
IDCJAC0002,097085,2018,11,10.1,Y
IDCJAC0002,097085,2018,12,15.3,Y
IDCJAC0002,097085,2019,01,16.1,Y
IDCJAC0002,097085,2019,02,12.8,Y
IDCJAC0002,097085,2019,03,12.1,Y
IDCJAC0002,097085,2019,04,8.6,Y
IDCJAC0002,097085,2019,05,6.3,Y
IDCJAC0002,097085,2019,06,4.5,Y
IDCJAC0002,097085,2019,07,3.7,Y
IDCJAC0002,097085,2019,08,3.0,Y
IDCJAC0002,097085,2019,09,5.1,Y
IDCJAC0002,097085,2020,01,13.7,Y
IDCJAC0002,097085,2020,02,13.5,Y
IDCJAC0002,097085,2020,03,10.5,Y
IDCJAC0002,097085,2020,04,6.8,Y
IDCJAC0002,097085,2020,05,6.0,Y
IDCJAC0002,097085,2020,06,4.3,Y
IDCJAC0002,097085,2020,07,4.5,Y
IDCJAC0002,097085,2020,08,3.6,Y
IDCJAC0002,097085,2020,09,5.3,Y
IDCJAC0002,097085,2020,10,8.3,Y
IDCJAC0002,097085,2020,11,12.6,Y
IDCJAC0002,097085,2020,12,10.6,Y
IDCJAC0002,097085,2021,01,14.2,Y
IDCJAC0002,097085,2021,02,13.3,Y
IDCJAC0002,097085,2021,03,11.5,Y
IDCJAC0002,097085,2021,04,8.1,Y
IDCJAC0002,097085,2021,05,6.4,Y
IDCJAC0002,097085,2021,06,5.6,Y
